Acido fijo; Acido volatil;Acido citrico;azucar residual;Cloruros;Libre dioxido de azufre;dioxido de sulfuro total ;densidad;pH;sulfatos;alcohol;Calidad
68;22;31;63;35;33;170;9918;324;66;126;6
74;26;31;76;47;52;177;9962;313;45;89;6
78;18;31;122;53;46;140;998;306;53;89;6
78;18;31;122;53;46;140;998;306;53;89;6
77;42;31;92;48;22;221;9969;306;61;92;6
73;205;31;17;6;34;110;9963;372;69;105;6
73;205;31;17;6;34;110;9963;372;69;105;6
73;26;31;16;4;39;173;9918;319;51;114;6
73;26;31;16;4;39;173;9918;319;51;114;6
77;26;31;13;43;47;155;9937;342;5;101;6
64;15;31;11;44;25;96;9932;354;51;103;6
66;25;31;124;59;52;181;9984;351;47;98;6
7;21;31;6;46;29;108;9939;326;5;108;6
81;3;31;11;41;49;123;9914;299;45;111;6
82;18;31;118;39;96;249;9976;307;52;95;6
73;18;31;173;55;32;197;1;313;46;9;6
74;26;31;24;43;58;178;9941;342;68;106;6
77;23;31;107;38;59;186;9969;312;55;95;6
77;23;31;107;38;59;186;9969;312;55;95;6
72;2;31;10;54;49;165;997;34;42;99;6
77;24;31;13;47;33;106;993;322;55;108;6
84;2;31;28;54;16;89;99416;296;45;95;6
65;36;31;41;61;20;134;99475;318;45;9;6
85;25;31;28;32;11;61;99189;306;44;115;6
83;26;31;2;29;14;141;99077;295;77;122;6
69;26;31;7;39;37;175;99376;332;49;114;6
79;37;31;285;37;5;24;9911;319;36;119;6
62;25;31;32;3;32;150;99014;318;31;12;6
75;18;31;65;29;53;160;99276;303;38;109;6
75;18;31;65;29;53;160;99276;303;38;109;6
53;2;31;36;36;22;91;99278;341;5;98;6
71;2;31;685;53;32;211;99587;331;59;104;6
71;2;31;74;53;32;211;99587;331;59;104;6
71;2;31;74;53;32;211;99587;331;59;104;6
71;2;31;685;53;32;211;99587;331;59;104;6
56;15;31;53;38;8;79;9923;33;39;105;6
62;2;31;1;31;22;73;99035;324;52;113;6
67;39;31;27;54;27;202;9948;346;57;105;6
69;22;31;63;29;41;131;99326;308;49;108;6
69;22;31;63;29;41;131;99326;308;49;108;6
7;2;31;8;5;29;213;99596;328;57;104;6
58;15;31;59;36;7;73;99152;32;43;119;6
74;19;31;145;45;39;193;9986;31;5;92;6
74;19;31;145;45;39;193;9986;31;5;92;6
74;19;31;145;45;39;193;9986;31;5;92;6
74;19;31;145;45;39;193;9986;31;5;92;6
74;19;31;145;45;39;193;9986;31;5;92;6
74;19;31;145;45;39;193;9986;31;5;92;6
71;17;31;16;37;15;103;991;314;5;12;6
64;32;31;19;37;34;126;99;306;45;118;6
65;26;31;13;34;59;145;98944;316;54;124;6
75;24;31;131;5;26;180;99884;305;53;91;6
75;24;31;131;5;26;180;99884;305;53;91;6
75;24;31;131;5;26;180;99884;305;53;91;6
75;24;31;131;5;26;180;99884;305;53;91;6
75;24;31;131;5;26;180;99884;305;53;91;6
75;26;31;16;32;36;109;99044;297;43;119;6
68;33;31;74;45;34;143;99226;306;55;122;6
68;33;31;74;45;34;143;99226;306;55;122;6
67;24;31;23;44;37;113;99013;329;46;129;6
6;27;31;5;43;54;170;9924;328;52;11;6
71;25;31;23;5;32;156;9914;314;51;114;6
65;2;31;21;33;32;95;989435;296;61;12;6
65;36;31;1355;53;20;113;99544;32;56;11;6
65;36;31;1355;53;20;113;99544;32;56;11;6
59;21;31;18;33;45;142;98984;335;5;127;6
72;21;31;105;35;36;122;99478;312;4;106;6
61;27;31;39;34;42;137;99218;324;46;109;6
58;23;31;45;46;42;124;99324;331;64;108;6
65;28;33;157;53;51;190;9978;322;51;97;6
71;145;33;46;5;33;131;9942;328;4;96;6
61;36;33;11;5;24;169;9927;315;78;95;6
63;22;33;17;41;67;164;9928;332;56;104;6
7;23;33;58;4;25;136;995;319;58;95;6
69;24;33;48;4;16;131;9936;326;64;107;6
63;21;33;139;46;68;179;9971;336;5;104;6
65;23;33;138;42;25;139;99695;335;56;104;6
69;24;33;125;46;47;153;9983;328;77;96;6
62;28;33;17;29;24;111;99;324;5;121;6
61;27;33;22;21;26;117;9886;312;3;125;6
75;28;33;77;48;42;180;9974;337;59;101;6
85;16;33;1;76;17;57;9921;314;46;106;6
64;23;33;115;44;155;2175;992;333;44;11;6
75;38;33;5;45;30;131;9942;332;44;109;6
66;42;33;28;34;15;85;99;328;51;134;6
66;42;33;28;34;15;85;99;328;51;134;6
72;21;33;3;36;35;132;9928;325;4;11;6
75;22;33;67;36;45;138;9939;32;68;114;6
79;26;33;103;39;73;212;9969;293;49;95;6
79;26;33;103;39;73;212;9969;293;49;95;6
7;28;33;146;43;47;168;9994;334;67;88;6
7;28;33;146;43;47;168;9994;334;67;88;6
7;28;33;146;43;47;168;9994;334;67;88;6
67;23;33;18;36;23;96;9925;332;4;108;6
81;24;33;102;48;46;141;9972;316;48;103;6
7;22;33;21;52;15;76;993;32;41;106;6
89;24;33;1575;35;16;132;996;3;37;121;6
69;23;33;128;56;44;169;998;342;42;98;6
7;19;33;63;32;42;127;99182;331;38;122;6
78;32;33;104;31;47;194;99692;307;58;96;6
78;32;33;104;31;47;194;99692;307;58;96;6
89;26;33;81;24;47;202;99558;313;46;108;6
7;23;33;1;43;46;110;99118;304;65;108;6
76;1;33;1;31;33;93;99094;306;68;112;6
67;27;33;36;34;9;45;99144;308;4;105;6
67;27;33;36;34;9;45;99144;308;4;105;6
73;26;33;118;57;48;127;99693;31;55;10;6
73;26;33;118;57;48;127;99693;31;55;10;6
65;37;33;35;36;23;92;99136;318;38;112;6
73;21;33;1;37;66;144;9923;311;52;102;6
59;32;33;21;27;35;138;98945;337;42;127;6
65;16;33;48;43;45;114;992;318;44;112;6
58;29;33;37;29;30;88;98994;325;42;123;6
71;14;33;1;104;20;54;99057;319;64;115;6
6;26;33;435;4;15;80;98934;329;5;127;6
67;23;33;81;48;45;176;99472;311;52;101;6
56;32;33;74;37;25;95;99268;325;49;111;6
56;32;33;74;37;25;95;99268;325;49;111;6
68;19;33;49;47;42;130;99283;312;56;11;6
68;19;33;49;47;42;130;99283;312;56;11;6
7;25;33;21;21;17;76;99021;326;45;123;6
6;3;33;21;42;31;127;98964;332;42;125;6
68;24;33;32;49;68;161;99324;31;69;102;6
64;25;33;17;37;35;113;99164;323;66;106;6
81;27;33;13;45;26;100;99066;298;44;124;6
81;27;33;13;45;26;100;99066;298;44;124;6
63;23;33;69;52;23;118;9938;323;46;104;6
7;2;33;47;3;25;76;99202;288;54;105;6
57;22;33;19;36;37;110;98945;326;58;124;6
62;3;33;35;37;37;155;98987;318;37;124;6
67;31;33;2;33;12;74;99064;329;65;125;6
58;3;33;35;33;25;116;99057;32;44;117;6
78;27;33;24;53;36;175;992;32;55;11;6
9;2;33;35;49;10;40;9944;314;36;98;6
9;2;33;35;49;10;40;9944;314;36;98;6
68;23;33;19;47;20;101;9914;31;46;111;6
68;32;33;7;27;15;66;9899;311;31;118;6
61;32;33;107;36;27;98;99521;334;52;102;6
61;32;33;107;36;27;98;99521;334;52;102;6
69;31;33;127;38;33;116;9954;304;65;104;6
55;62;33;17;37;24;118;98758;315;39;1355;6
75;38;33;92;43;19;116;99444;308;42;114;6
6;52;33;77;46;24;119;99224;304;38;11;6
66;24;33;101;32;8;81;99626;319;51;98;6
58;27;27;123;45;55;170;9972;328;42;93;6
72;27;27;24;48;30;149;9936;31;51;92;6
72;27;27;24;48;30;149;9936;31;51;92;6
77;34;27;88;63;39;184;9969;309;63;92;6
65;28;27;52;4;44;179;9948;319;69;94;6
78;26;27;19;51;52;195;9928;323;5;109;6
77;24;27;18;51;52;190;9928;323;5;108;6
76;3;27;106;39;31;119;99815;327;3;93;6
76;3;27;106;39;31;119;99815;327;3;93;6
65;26;27;129;44;69;215;9967;317;43;10;6
61;24;27;98;62;33;152;9966;331;47;95;6
57;26;27;41;201;735;1895;9942;327;38;94;6
57;26;27;41;201;735;1895;9942;327;38;94;6
64;17;27;67;36;88;223;9948;328;35;102;6
84;58;27;1215;33;37;116;9959;299;39;108;6
84;58;27;1215;33;37;116;9959;299;39;108;6
66;34;27;62;59;23;136;9957;33;49;101;6
58;23;27;18;43;24;69;9933;338;31;94;6
10;23;27;141;33;45;166;9988;272;43;97;6
79;3;27;85;36;20;112;9939;296;46;117;6
84;2;27;63;48;30;143;9966;325;5;91;6
56;13;27;48;28;22;104;9948;334;45;92;6
83;24;27;21;3;22;162;9914;299;68;119;6
85;25;27;47;31;31;92;9922;301;33;12;6
74;18;27;13;48;26;105;994;352;66;106;6
85;25;27;47;31;31;92;9922;301;33;12;6
6;28;27;23;51;23;147;994;323;67;103;6
65;19;27;49;37;13;101;9916;317;41;118;6
76;31;27;58;36;23;109;99399;334;54;11;6
79;27;27;17;34;25;122;99088;297;51;119;6
79;27;27;17;34;25;122;99088;297;51;119;6
69;32;27;16;34;58;185;99938;334;6;9;6
72;19;27;112;61;46;149;99772;299;59;93;6
72;19;27;112;61;46;149;99772;299;59;93;6
62;28;27;103;3;26;108;99388;32;36;107;6
62;28;27;103;3;26;108;99388;32;36;107;6
56;18;27;17;3;31;103;98892;335;37;129;6
76;17;27;46;5;23;98;99422;308;47;95;6
76;17;27;46;5;23;98;99422;308;47;95;6
64;17;27;99;47;26;101;99596;334;5;99;6
64;17;27;99;47;26;101;99596;334;5;99;6
64;32;27;49;34;18;122;9916;336;71;125;6
64;32;27;49;34;18;122;9916;336;71;125;6
53;36;27;63;28;40;132;99186;337;4;116;6
53;36;27;63;28;40;132;99186;337;4;116;6
81;26;27;43;3;43;123;99212;316;33;112;6
8;25;27;97;36;15;85;99406;299;36;112;6
69;26;27;42;31;20;80;99089;312;39;115;6
8;25;27;97;36;15;85;99406;299;36;112;6
69;26;27;42;31;20;80;99089;312;39;115;6
65;25;27;174;64;29;140;99776;32;49;101;6
65;25;27;174;64;29;140;99776;32;49;101;6
59;12;27;48;3;40;110;99226;355;68;121;6
54;17;27;27;49;28;104;99224;346;55;103;6
61;23;27;98;55;74;134;99534;316;4;102;6
68;11;27;86;44;45;104;99454;32;37;99;6
68;11;27;86;44;45;104;99454;32;37;99;6
68;11;27;86;44;45;104;99454;32;37;99;6
6;28;27;41;46;50;147;99126;327;56;116;6
68;3;27;116;28;22;97;99314;296;38;117;6
68;3;27;116;28;22;97;99314;296;38;117;6
71;44;27;84;57;60;160;99257;316;36;118;6
71;44;27;84;57;60;160;99257;316;36;118;6
57;25;27;108;5;58;116;99592;31;5;98;6
73;25;27;38;47;16;79;99173;307;46;113;6
66;41;27;107;11;20;103;99672;308;41;9;6
66;41;27;107;11;20;103;99672;308;41;9;6
57;25;27;115;4;24;120;99411;333;31;108;6
59;27;27;9;51;43;136;9941;325;53;107;6
68;34;27;52;6;14;169;99252;327;57;116;6
67;41;27;26;33;25;85;99086;305;34;117;6
67;41;27;26;33;25;85;99086;305;34;117;6
62;24;27;168;4;48;129;99691;323;38;105;6
66;26;27;118;48;28;112;99606;287;49;97;6
61;24;27;115;5;51;133;99476;322;37;108;6
64;31;27;74;49;48;169;99323;327;45;111;6
62;24;27;29;39;30;123;98959;312;37;128;6
64;3;27;5;58;27;151;99198;322;49;122;6
69;44;27;5;38;33;166;99124;32;42;122;6
64;23;27;21;42;35;100;99094;303;63;109;6
64;3;27;44;55;17;135;9925;323;44;122;6
62;15;27;11;35;46;116;99602;312;38;91;6
58;29;27;16;62;17;140;99138;323;35;111;6
5;235;27;1175;3;34;118;9954;307;5;94;6
49;235;27;1175;3;34;118;9954;307;5;94;6
63;3;34;16;49;14;132;994;33;49;95;6
63;3;34;16;49;14;132;994;33;49;95;6
83;14;34;11;42;7;47;9934;347;4;102;6
72;21;34;119;43;37;213;9962;309;5;96;6
71;2;34;16;5;51;166;9985;321;6;92;6
68;26;34;139;34;39;134;9949;333;53;12;6
68;24;34;27;47;645;2185;9934;33;58;97;6
68;25;34;47;31;34;134;9927;321;38;106;6
68;25;34;47;31;34;134;9927;321;38;106;6
69;24;34;47;4;43;161;9935;32;59;106;6
72;35;34;124;51;6;37;9944;313;39;115;6
74;105;34;122;5;57;146;9973;316;37;9;6
67;19;34;1;22;22;94;9912;323;57;111;6
69;31;34;16;32;23;128;9917;337;47;117;6
7;21;34;85;33;31;253;9953;322;56;105;6
7;21;34;85;33;31;253;9953;322;56;105;6
73;32;34;66;32;24;112;99505;322;46;98;6
69;25;34;13;35;27;82;99045;318;44;122;6
6;28;34;16;119;33;104;9921;319;38;102;6
76;22;34;97;35;26;143;9965;308;49;98;6
76;22;34;97;35;26;143;9965;308;49;98;6
73;24;34;154;5;38;174;9983;303;42;9;6
73;24;34;154;5;38;174;9983;303;42;9;6
73;24;34;154;5;38;174;9983;303;42;9;6
57;36;34;42;26;21;77;9907;341;45;119;6
78;27;34;16;46;27;154;9927;305;45;105;6
69;23;34;4;47;24;128;9944;32;52;97;6
67;25;34;1285;48;30;161;9986;344;47;95;6
75;14;34;13;55;50;153;9945;329;8;96;6
75;14;34;13;55;50;153;9945;329;8;96;6
72;21;34;11;46;25;80;992;325;4;113;6
64;22;34;18;57;29;104;9959;381;57;103;6
7;2;34;57;35;32;83;9928;319;46;115;6
7;2;34;57;35;32;83;9928;319;46;115;6
88;39;34;59;55;33;128;9927;295;51;118;6
92;27;34;105;43;49;228;9974;304;41;104;6
92;27;34;105;43;49;228;9974;304;41;104;6
77;26;34;64;5;36;163;9937;319;7;115;6
89;21;34;71;37;33;150;9962;31;45;97;6
74;18;34;27;3;30;107;992;297;53;11;6
68;24;34;51;38;31;99;9921;324;46;118;6
7;24;34;3;35;36;102;9905;318;43;122;6
85;28;34;138;41;32;161;9981;313;4;99;6
85;28;34;138;41;32;161;9981;313;4;99;6
81;28;34;13;35;11;126;99232;314;5;98;6
76;2;34;18;41;42;148;99335;335;66;111;6
79;25;34;114;4;53;202;99708;311;57;96;6
81;25;34;101;5;30;121;99724;317;49;101;6
52;16;34;8;29;26;77;99155;325;51;101;6
66;32;34;77;44;63;212;99526;322;48;97;6
9;26;34;67;29;21;162;99497;308;5;106;6
9;26;34;67;29;21;162;99497;308;5;106;6
71;15;34;1;33;27;73;98974;324;41;122;6
67;33;34;66;67;35;156;99542;311;48;93;6
86;33;34;118;59;42;240;99882;317;52;10;6
67;16;34;16;26;27;109;9934;334;58;101;6
6;21;34;2;42;63;123;99052;344;42;114;6
76;27;34;5;4;18;56;99084;306;48;124;6
71;29;34;78;36;49;128;99397;321;4;107;6
71;29;34;78;36;49;128;99397;321;4;107;6
66;28;34;8;37;42;119;9888;303;37;125;6
7;45;34;198;4;12;67;9976;307;38;11;6
7;45;34;198;4;12;67;9976;307;38;11;6
7;26;34;109;38;25;84;99432;311;34;109;6
78;21;34;119;39;55;140;9959;302;31;103;6
66;16;34;11;37;41;115;9899;301;68;12;6
66;25;34;3;54;22;141;99338;326;47;104;6
68;17;34;2;4;38;111;99;324;45;129;6
68;19;34;19;4;41;108;99;325;45;129;6
68;17;34;2;4;38;111;99;324;45;129;6
76;37;34;32;28;42;162;9903;301;33;124;6
66;15;34;1;37;45;79;98949;296;5;117;6
65;19;34;16;29;39;116;98954;321;68;125;6
72;17;34;64;42;16;111;99278;299;4;108;6
72;17;34;64;42;16;111;99278;299;4;108;6
59;24;34;2;37;40;108;98948;319;5;123;6
63;28;34;81;38;44;129;99248;326;29;121;6
59;28;34;36;4;50;194;9912;331;52;116;6
61;31;34;28;42;595;162;99179;327;47;108;6
6;23;34;13;25;23;111;98961;336;37;127;6
6;23;34;13;25;23;111;98961;336;37;127;6
63;15;34;114;5;25;96;99754;321;49;10;6
83;22;34;11;43;20;116;9927;3;47;102;6
64;17;34;134;44;45;139;99752;306;43;91;6
6;24;34;1;36;52;184;99097;344;44;1145;6
51;26;34;64;34;26;99;99449;323;41;92;6
6;43;34;76;45;25;118;99222;303;37;11;6
7;31;26;74;69;28;160;9954;313;46;98;6
7;31;26;74;69;28;160;9954;313;46;98;6
6;19;26;124;48;50;147;9972;33;36;89;6
6;19;26;124;48;50;147;9972;33;36;89;6
69;32;26;83;53;32;180;9965;325;51;92;6
69;32;26;83;53;32;180;9965;325;51;92;6
62;31;26;48;37;36;148;9928;321;41;104;6
72;28;26;125;46;48;179;9975;31;52;9;6
78;19;26;89;39;42;182;996;318;46;99;6
61;31;26;22;51;28;167;9926;337;47;104;6
59;24;26;123;53;34;134;9972;334;45;95;6
78;42;26;92;58;34;199;9972;314;55;93;6
56;25;26;36;37;18;115;9904;342;5;126;6
6;39;26;27;38;39;187;99325;341;5;108;6
62;29;26;131;46;55;204;99745;316;41;96;6
62;3;26;134;46;57;206;99775;317;43;95;6
7;29;26;16;44;12;87;9923;308;46;105;6
58;36;26;33;38;40;153;9911;334;55;113;6
58;36;26;33;38;40;153;9911;334;55;113;6
65;28;26;88;4;44;139;9956;332;37;102;6
72;26;26;127;36;49;214;9986;341;5;10;6
79;255;26;2;26;40;190;9932;304;39;112;6
62;12;26;57;44;56;158;9951;352;37;105;6
59;19;26;74;34;33;123;995;349;42;101;6
66;23;26;13;45;16;128;9934;336;6;10;6
78;39;26;99;59;33;181;9955;304;42;109;6
78;4;26;95;59;32;178;9955;304;43;109;6
78;39;26;99;59;33;181;9955;304;42;109;6
85;21;26;925;34;73;142;9945;305;37;114;6
85;21;26;925;34;73;142;9945;305;37;114;6
71;18;26;13;41;20;71;9926;304;74;99;6
71;18;26;13;41;20;71;9926;304;74;99;6
65;19;26;52;4;31;140;995;326;68;95;6
7;22;26;11;37;20;71;9902;31;38;117;6
67;25;26;135;6;50;156;99784;339;46;99;6
7;23;26;72;41;21;90;99509;322;55;95;6
7;23;26;72;41;21;90;99509;322;55;95;6
81;24;26;11;43;41;211;99676;311;49;10;6
79;44;26;445;33;23;100;99117;317;52;127;6
7;16;26;73;47;30;220;99622;338;58;101;6
7;16;26;685;47;30;220;99622;338;58;101;6
65;27;26;82;42;21;133;99612;343;64;98;6
67;27;26;23;43;61;181;99394;345;63;106;6
63;2;26;16;27;36;141;99268;353;56;108;6
69;32;26;23;3;11;103;99106;306;42;111;6
69;32;26;23;3;11;103;99106;306;42;111;6
82;32;26;21;62;26;87;98974;31;47;128;6
58;13;26;51;39;19;103;99478;336;47;93;6
73;2;26;16;4;36;123;99238;334;44;108;6
6;44;26;31;53;57;128;98982;322;39;127;6
57;12;26;55;34;21;99;99324;309;57;99;6
65;29;26;7;4;18;113;99366;317;38;102;6
57;16;26;63;43;28;113;9936;306;58;99;6
6;2;26;11;33;38;67;98954;314;38;115;6
56;15;26;555;51;51;139;99336;347;5;11;6
78;22;26;9;47;38;132;997;325;53;102;6
67;38;26;955;36;35;91;9919;298;37;124;6
58;24;26;1005;39;63;162;99375;333;5;112;6
74;22;26;88;27;23;112;9931;298;41;114;6
7;34;26;103;41;51;166;99382;308;35;116;6
51;35;26;68;34;36;120;99188;338;4;115;6
51;35;26;68;34;36;120;99188;338;4;115;6
51;35;26;68;34;36;120;99188;338;4;115;6
62;27;26;121;46;43;127;9951;316;37;108;6
64;38;26;82;43;28;98;99234;299;31;114;6
58;27;26;35;71;26;69;98994;31;38;115;6
57;25;26;125;49;525;120;99691;308;45;94;6
57;25;26;125;49;525;106;99691;308;45;94;6
68;3;26;203;37;45;150;99727;304;38;123;6
68;26;26;2;19;235;72;99041;316;47;118;6
57;18;26;22;23;21;95;9893;307;54;123;6
67;11;26;148;53;44;95;99676;32;35;98;6
67;11;26;148;53;44;95;99676;32;35;98;6
6;2;26;68;49;22;93;9928;315;42;11;6
6;2;26;68;49;22;93;9928;315;42;11;6
6;2;26;68;49;22;93;9928;315;42;11;6
6;2;26;68;49;22;93;9928;315;42;11;6
7;24;26;17;41;31;110;99142;32;53;11;6
63;2;26;127;46;60;143;99526;326;35;108;6
68;43;26;52;43;40;176;99116;317;41;123;6
67;24;26;54;3;15;94;99045;315;38;127;6
66;18;26;173;51;17;149;9984;3;43;94;6
66;18;26;173;51;17;149;9984;3;43;94;6
52;38;26;77;53;20;103;9925;327;45;122;6
71;28;26;28;39;50;118;9908;306;59;112;6
64;55;26;96;27;20;104;9924;322;73;131;6
6;26;26;22;35;10;72;989465;311;48;1215;6
6;2;26;147;45;53;125;998365;299;69;94;6
6;27;26;13;38;32;138;99125;346;43;111;6
69;54;26;127;49;59;195;99596;326;54;105;6
66;17;26;74;52;45;128;99388;316;37;10;6
66;17;26;74;52;45;128;99388;316;37;10;6
58;38;26;11;58;20;140;99271;327;43;97;6
56;295;26;11;35;40;102;99154;347;56;106;6
82;23;49;9;57;15;73;9928;307;38;104;6
81;29;49;71;42;22;124;9944;314;41;108;6
62;18;49;45;47;17;90;9919;327;37;116;6
81;29;49;71;42;22;124;9944;314;41;108;6
68;22;49;9;52;26;128;991;325;35;114;6
72;22;49;1;45;34;140;99;305;34;127;6
7;18;49;53;4;34;125;9914;324;4;122;6
78;43;49;13;33;37;158;9955;314;35;113;6
69;19;49;66;36;49;172;9932;32;27;115;6
78;43;49;13;33;37;158;9955;314;35;113;6
78;43;49;13;33;37;158;9955;314;35;113;6
79;11;49;45;48;27;133;9946;324;42;106;6
64;145;49;54;48;54;164;9946;356;44;108;6
69;19;49;66;36;49;172;9932;32;27;115;6
78;43;49;13;33;37;158;9955;314;35;113;6
7;2;49;59;38;39;128;9938;321;48;108;6
72;8;49;13;5;18;148;9945;346;44;102;6
77;16;49;2;56;20;124;9948;332;49;107;6
72;8;49;13;5;18;148;9945;346;44;102;6
67;16;49;24;46;57;187;9952;362;81;104;6
62;15;49;9;33;17;51;9932;33;7;94;6
56;185;49;11;3;28;117;9918;355;45;103;6
77;27;49;18;41;23;86;9914;316;42;125;6
81;2;49;81;51;51;205;9954;31;52;11;6
68;21;49;145;6;50;170;9991;355;44;98;6
73;22;49;99;31;48;161;9937;301;28;112;6
73;155;49;13;39;34;136;9926;314;77;105;6
82;22;49;96;37;53;154;9951;302;33;106;6
82;24;49;93;38;52;163;9952;302;33;106;6
84;23;49;78;35;22;95;9935;304;34;12;6
83;2;49;17;38;38;167;9939;305;37;101;6
8;25;49;9;44;31;185;998;334;49;10;6
66;21;49;1815;42;41;158;9997;328;39;87;6
142;27;49;11;37;33;156;992;315;54;111;6
79;28;49;77;45;48;195;9954;304;55;11;6
74;27;49;11;37;33;156;992;315;54;111;6
66;21;49;1815;42;41;158;9997;328;39;87;6
73;26;49;5;28;32;107;9936;324;54;108;6
81;28;49;1;4;32;148;9936;313;41;10;6
6;17;49;1;34;26;106;992;321;42;98;6
73;26;49;5;28;32;107;9936;324;54;108;6
72;16;49;13;37;27;104;9924;323;57;106;6
73;14;49;11;38;28;99;9928;32;72;106;6
79;12;49;52;49;33;152;9952;318;47;106;6
67;29;49;47;34;35;156;9945;313;45;99;6
67;3;49;48;34;36;158;9945;312;45;99;6
79;18;49;52;51;36;157;9953;318;48;106;6
76;23;49;10;36;45;182;9967;308;58;96;6
79;18;49;52;51;36;157;9953;318;48;106;6
85;19;49;35;44;29;117;9938;314;51;101;6
74;3;49;82;55;49;188;9974;352;58;97;6
74;3;49;82;55;49;188;9974;352;58;97;6
69;22;49;7;63;50;168;9957;354;5;103;6
9;3;49;72;39;32;84;9938;294;32;115;6
64;12;49;64;42;49;161;9945;334;44;104;6
86;16;49;73;43;9;63;9953;313;59;105;6
7;29;49;38;47;37;136;9938;295;4;94;6
64;27;49;73;46;53;206;9956;324;43;92;6
64;27;49;73;46;53;206;9956;324;43;92;6
67;33;49;16;167;20;94;9914;311;5;114;6
7;29;49;38;47;37;136;9938;295;4;94;6
82;34;49;8;46;55;223;996;308;52;107;6
75;32;49;17;31;44;109;9906;307;46;125;6
75;32;49;17;31;44;109;9906;307;46;125;6
82;26;49;52;4;19;100;9941;312;34;101;6
75;19;49;16;47;42;140;9932;34;47;107;6
69;34;49;73;45;61;206;9957;309;4;9;6
62;2;49;16;65;17;143;9937;322;52;92;6
64;37;49;133;45;53;243;9982;314;48;85;6
65;44;49;77;45;16;169;9957;311;37;87;6
7;14;49;59;53;22;118;9954;336;36;94;6
64;26;49;64;37;37;161;9954;338;53;97;6
9;22;49;104;48;52;195;9987;331;44;102;6
82;2;49;35;57;14;108;9928;319;35;115;6
82;2;49;35;57;14;108;9928;319;35;115;6
83;25;49;168;48;50;228;1;303;52;92;6
64;22;49;75;54;42;151;9948;327;52;101;6
64;22;49;75;54;42;151;9948;327;52;101;6
78;4;49;78;6;34;162;9966;326;58;113;6
66;27;49;78;49;62;217;9959;317;45;94;6
67;26;49;83;47;54;191;9954;323;4;103;6
77;39;49;77;36;11;110;9966;333;76;10;6
62;3;49;112;58;68;215;99656;319;6;94;6
97;24;49;49;32;3;18;99368;285;54;10;6
97;24;49;49;32;3;18;99368;285;54;10;6
77;25;49;25;47;31;169;99252;307;57;106;6
77;27;49;38;37;46;139;99116;304;38;116;6
64;24;49;58;53;25;120;9942;301;98;105;6
64;24;49;58;53;25;120;9942;301;98;105;6
64;24;49;58;53;25;120;9942;301;98;105;6
64;24;49;58;53;25;120;9942;301;98;105;6
67;48;49;29;3;28;122;98926;313;4;13;6
67;48;49;29;3;28;122;98926;313;4;13;6
66;285;49;114;35;57;137;99732;308;54;89;6
66;285;49;114;35;57;137;99732;308;54;89;6
71;26;29;124;44;62;240;9969;304;42;92;6
67;13;29;53;51;31;122;9944;344;37;97;6
66;24;29;2;23;19;86;99;325;45;125;6
74;29;29;16;45;53;180;9936;334;68;105;6
82;23;29;18;47;47;187;9933;313;5;102;6
68;23;29;122;35;38;236;9976;335;52;98;6
8;29;29;132;46;26;113;9983;325;37;97;6
62;35;29;73;44;56;244;9956;336;55;10;6
62;34;29;76;47;45;232;9955;335;62;10;6
63;34;29;62;46;29;227;9952;329;53;101;6
78;3;29;1685;54;23;135;9998;316;38;9;6
78;3;29;1685;54;23;135;9998;316;38;9;6
78;3;29;1685;54;23;135;9998;316;38;9;6
78;3;29;1685;54;23;135;9998;316;38;9;6
68;25;29;2;42;19;189;9952;346;54;102;6
68;22;29;89;46;82;188;9955;33;44;103;6
63;26;29;22;43;35;175;9918;338;43;116;6
68;23;29;154;73;56;173;9984;306;41;87;6
68;23;29;154;73;56;173;9984;306;41;87;6
6;26;29;1;32;27;96;9896;338;44;123;6
66;35;29;144;44;54;177;9991;317;58;89;6
73;29;29;46;29;27;155;9931;307;26;106;6
73;18;29;1;36;26;101;99;309;37;117;6
77;28;29;69;41;29;163;9952;344;6;105;6
61;15;29;62;46;39;151;99471;36;44;106;6
61;15;29;62;46;39;151;99471;36;44;106;6
74;2;29;17;47;16;100;99243;328;45;106;6
75;38;29;127;5;25;209;9986;325;59;93;6
77;29;29;48;6;27;156;99572;349;59;103;6
75;23;29;26;31;24;98;99194;3;54;109;6
65;18;29;17;35;39;144;9927;349;5;105;6
61;16;29;6;3;29;144;99474;368;46;107;6
7;32;29;49;36;41;150;99168;338;43;122;6
7;22;29;89;5;24;90;99556;329;46;98;6
67;26;29;58;25;26;74;9929;328;53;11;6
65;24;29;82;43;32;156;99453;313;7;101;6
72;24;29;3;36;17;117;99411;336;68;101;6
72;24;29;3;36;17;117;99411;336;68;101;6
56;175;29;8;43;20;67;99112;328;48;99;6
71;32;29;4;38;33;170;99463;327;64;102;6
73;51;29;113;34;61;224;99683;314;56;95;6
66;23;29;1445;57;29;144;99756;333;54;102;6
8;17;29;24;29;52;119;98944;303;33;129;6
66;21;29;18;26;35;128;99183;337;48;112;6
8;17;29;24;29;52;119;98944;303;33;129;6
68;16;29;104;46;59;143;99518;32;4;108;6
52;28;29;11;28;18;69;99168;324;54;10;6
64;27;29;108;28;17;118;99356;318;37;112;6
6;17;29;5;28;25;108;99076;314;34;123;6
66;22;29;144;46;39;118;99834;305;5;91;6
66;22;29;144;46;39;118;99834;305;5;91;6
63;27;29;122;44;59;196;99782;314;4;88;6
